Machine,IP,Status,Ping (ms)
172.16.10.1,172.16.10.1,Inactive,
172.16.10.2,172.16.10.2,Inactive,
172.16.10.3,172.16.10.3,Inactive,
172.16.10.4,172.16.10.4,Active,114
172.16.10.5,172.16.10.5,Active,114
172.16.10.6,172.16.10.6,Inactive,
172.16.10.7,172.16.10.7,Inactive,
172.16.10.8,172.16.10.8,Inactive,
172.16.10.9,172.16.10.9,Active,112
172.16.10.10,172.16.10.10,Inactive,
172.16.10.11,172.16.10.11,Inactive,
172.16.10.12,172.16.10.12,Active,89
172.16.10.13,172.16.10.13,Inactive,
172.16.10.14,172.16.10.14,Inactive,
172.16.10.15,172.16.10.15,Inactive,
172.16.10.16,172.16.10.16,Inactive,
172.16.10.17,172.16.10.17,Active,97
172.16.10.18,172.16.10.18,Active,105
172.16.10.19,172.16.10.19,Inactive,
172.16.10.20,172.16.10.20,Active,105
172.16.10.21,172.16.10.21,Active,107
172.16.10.22,172.16.10.22,Inactive,
172.16.10.23,172.16.10.23,Inactive,
172.16.10.24,172.16.10.24,Inactive,
172.16.10.25,172.16.10.25,Inactive,
172.16.10.26,172.16.10.26,Inactive,
172.16.10.27,172.16.10.27,Active,112
172.16.10.28,172.16.10.28,Inactive,
172.16.10.29,172.16.10.29,Inactive,
172.16.10.30,172.16.10.30,Active,112
172.16.10.31,172.16.10.31,Active,98
172.16.10.32,172.16.10.32,Inactive,
172.16.10.33,172.16.10.33,Inactive,
172.16.10.34,172.16.10.34,Inactive,
172.16.10.35,172.16.10.35,Inactive,
172.16.10.36,172.16.10.36,Inactive,
172.16.10.37,172.16.10.37,Inactive,
172.16.10.38,172.16.10.38,Inactive,
172.16.10.39,172.16.10.39,Inactive,
172.16.10.40,172.16.10.40,Inactive,
172.16.10.41,172.16.10.41,Inactive,
172.16.10.42,172.16.10.42,Inactive,
172.16.10.43,172.16.10.43,Inactive,
172.16.10.44,172.16.10.44,Inactive,
172.16.10.45,172.16.10.45,Inactive,
172.16.10.46,172.16.10.46,Inactive,
172.16.10.47,172.16.10.47,Inactive,
172.16.10.48,172.16.10.48,Inactive,
172.16.10.49,172.16.10.49,Inactive,
172.16.10.50,172.16.10.50,Inactive,
172.16.10.51,172.16.10.51,Inactive,
172.16.10.52,172.16.10.52,Inactive,
172.16.10.53,172.16.10.53,Inactive,
